id,item
OIC-001,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un ..."
OIC-002,"Les valeurs professionnelles du médecin et des autres professions de santé"
OIC-003,"Le raisonnement et la décision en médecine. La médecine fondée sur les preuves (Evidence Based Medicine, EBM). La décision médicale partagée. La controverse"
OIC-004,"Qualité et sécurité des soins. La sécurité du patient. La gestion des risques. Les événements indésirables associés aux soins (EIAS). Démarche qualité et évaluation des pratiques professionnelles"
OIC-005,"Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique"
OIC-006,"L’organisation de l’exercice clinique et les méthodes qui permettent de sécuriser le parcours du patient"
OIC-007,"Les droits individuels et collectifs du patient"
OIC-008,"Les discriminations"
OIC-009,"Introduction à l’éthique médicale"
OIC-010,"Approches transversales du corps"
OIC-011,"Violences et santé"
OIC-012,"Violences sexuelles"
OIC-013,"Certificats médicaux. Décès et législation"
OIC-014,"La mort"
OIC-015,"Soins psychiatriques sans consentement"
OIC-016,"Organisation du système de soins. Sa régulation. Les indicateurs. Parcours de soins"
OIC-017,"Télémédecine, télésanté et téléservices en santé"
OIC-018,"Santé et numérique"
OIC-019,"La sécurité sociale. L’assurance maladie. Les assurances complémentaires. La complémentaire santé solidaire (CSS). La consommation médicale. Protection sociale. Consommation médicale et économie de la santé"
OIC-020,"La méthodologie de la recherche en santé"
OIC-021,"Mesure de l’état de santé de la population"
OIC-022,"Maladies rares"
OIC-023,"Grossesse normale"
OIC-024,"Principales complications de la grossesse."
OIC-025,"Grossesse extra-utérine"
OIC-026,"Douleur abdominale aiguë chez une femme enceinte"
OIC-027,"Prévention des risques fœtaux : infection, médicaments, toxiques, irradiation"
OIC-028,"Connaître les particularités de l’infection urinaire au cours de la grossesse"
OIC-029,"Connaître les principaux risques professionnels pour la maternité, liés au travail de la mère"
OIC-030,"Prématurité et retard de croissance intra-utérin : facteurs de risque et prévention"
OIC-031,"Accouchement, délivrance et suites de couches normales"
OIC-032,"Évaluation et soins du nouveau-né à terme"
OIC-033,"Allaitement maternel"
OIC-034,"Suites de couches pathologiques : pathologie maternelle dans les 40 jours"
OIC-035,"Anomalies du cycle menstruel. Métrorragies"
OIC-036,"Contraception. (voir item 330)"
OIC-037,"Interruption volontaire de grossesse"
OIC-038,"Infertilité du couple : conduite de la première consultation"
OIC-039,"Assistance médicale à la procréation : principaux aspects biologiques, médicaux et éthiques"
OIC-040,"Algies pelviennes chez la femme"
OIC-041,"Endométriose"
OIC-042,"Aménorrhée"
OIC-043,"Hémorragie génitale chez la femme"
OIC-044,"Tuméfaction pelvienne chez la femme"
OIC-045,"Spécificités des maladies génétiques. (voir item 9)"
OIC-046,"Médecine génomique"
OIC-047,"Suivi d’un nourrisson, d’un enfant et d’un adolescent normal. Dépistage des anomalies orthopédiques, des troubles visuels, auditifs et dentaires. Examens de santé obligatoires. Médecine scolaire. Mortalité et morbidité infantiles"
OIC-048,"Alimentation et besoins nutritionnels du nourrisson et de l’enfant"
OIC-049,"Puberté normale et pathologique"
OIC-050,"Pathologie génito-scrotale chez le garçon et chez l’homme"
OIC-051,"Troubles de la miction chez l’enfant"
OIC-052,"Strabisme et amblyopie de l’enfant"
OIC-053,"Retard de croissance staturo-pondérale"
OIC-054,"Boiterie chez l’enfant"
OIC-055,"Développement psychomoteur du nourrisson et de l’enfant : aspects normaux et pathologiques (sommeil, alimentation, contrôles sphinctériens, psychomotricité, langage, intelligence). L’installation précoce de la relation parents-enfant ..."
OIC-056,"L’enfant handicapé : orientation et prise en charge (voir items 118, 121)"
OIC-057,"Maltraitance et enfants en danger. Protection maternelle et infantile"
OIC-058,"Sexualité normale et ses troubles"
OIC-059,"Sujets en situation de précarité"
OIC-060,"Connaître les facteurs de risque, prévention, dépistage des troubles psychiques de l’enfant à la personne âgée"
OIC-061,"Connaître les bases des classifications des troubles mentaux de l’enfant à la personne âgée"
OIC-062,"Décrire l’organisation de l’offre de soins en psychiatrie, de l’enfant à la personne âgée"
OIC-063,"Troubles schizophréniques de l’adolescent et de l’adulte"
OIC-064,"Troubles bipolaires de l’adolescent et de l’adulte"
OIC-065,"Trouble délirant persistant"
2C-066-,""
OIC-067,"Troubles du neurodéveloppement (voir items 55, 118, 121, 122, 138)"
OIC-068,"Troubles du comportement de l’enfant et de l’adolescent"
OIC-069,"Troubles psychiques de la grossesse et du post-partum"
OIC-070,"Troubles psychiques du sujet âgé"
OIC-071,"Troubles des conduites alimentaires chez l’adolescent et l’adulte (voir item 253)"
OIC-072,"Troubles à symptomatologie somatique et apparentés à tous les âges"
OIC-073,"Différents types de techniques psychothérapeutiques"
OIC-074,"Prescription et surveillance des psychotropes (voir item 330)"
OIC-075,"Addiction au tabac"
OIC-076,"Addiction à l’alcool"
OIC-077,"Addiction aux médicaments psychotropes (benzodiazépines et apparentés). (voir item 322)"
OIC-078,"Addiction au cannabis, à la cocaïne, aux amphétamines, aux opiacés, aux drogues de synthèse. (voir item 322)"
OIC-079,"Addictions comportementales"
OIC-080,"Dopage et conduites dopantes. (voir item 256)"
OIC-081,"Altération chronique de la vision"
OIC-082,"Altération aiguë de la vision"
OIC-083,"Infections et inflammations oculaires"
OIC-084,"Glaucomes"
OIC-085,"Troubles de la réfraction"
OIC-086,"Pathologie des paupières"
OIC-087,"Epistaxis"
OIC-088,"Trouble aigu de la parole. Dysphonie"
OIC-089,"Altération de la fonction auditive"
OIC-090,"Pathologie des glandes salivaires"
OIC-091,"Déficit neurologique récent. (voir item 340)"
OIC-092,"Déficit moteur et/ou sensitif des membres"
OIC-093,"Compression médullaire non traumatique et syndrome de la queue de cheval"
OIC-094,"Rachialgie"
OIC-095,"Radiculalgie et syndrome canalaire"
OIC-096,"Neuropathies périphériques"
OIC-097,"Polyradiculonévrite aiguë inflammatoire (syndrome de Guillain-Barré)"
OIC-098,"Myasthénie"
OIC-099,"Migraine, névralgie du trijumeau et algies de la face"
OIC-100,"Céphalée inhabituelle aiguë et chronique chez l’adulte et l’enfant"
OIC-101,"Paralysie faciale"
OIC-102,"Diplopie"
OIC-103,"Vertige"
OIC-104,"Sclérose en plaques"
OIC-105,"Épilepsie de l’enfant et de l’adulte"
OIC-106,"Maladie de Parkinson"
OIC-107,"Mouvements anormaux"
OIC-108,"Confusion, démences. (voir item 132)"
OIC-109,"Troubles de la marche et de l’équilibre"
OIC-110,"Troubles du sommeil de l’enfant et de l’adulte"
OIC-111,"Dermatoses faciales : acné, rosacée, dermatite séborrhéique"
OIC-112,"Dermatose bulleuse touchant la peau et/ou les muqueuses externes"
OIC-113,"Hémangiomes et malformations vasculaires cutanées"
OIC-114,"Exanthème et érythrodermie de l’adulte et de l’enfant. (voir item 164)"
OIC-115,"Toxidermies"
OIC-116,"Prurit"
OIC-117,"Psoriasis"
OIC-118,"La personne handicapée : bases de l’évaluation fonctionnelle et thérapeutique. (voir item 56)"
OIC-119,"Soins et accompagnement dans la maladie chronique et le handicap"
OIC-120,"Complications de l’immobilité et du décubitus. Prévention et prise en charge"
OIC-121,"Le handicap psychique. (voir item 56 et 118)"
OIC-122,"Principales techniques de rééducation et de réadaptation. (voir item 55)"
OIC-123,"Vieillissement normal : aspects biologiques, fonctionnels et relationnels. Données épidémiologiques et sociologiques. Prévention du vieillissement pathologique"
OIC-124,"Ménopause, insuffisance ovarienne prématurée, andropause, déficit androgénique lié à l’âge. (Voir item 330)"
OIC-125,"Troubles de la miction et incontinence urinaire de l’adulte et du sujet âgé"
OIC-126,"Trouble de l’érection"
OIC-127,"Hypertrophie bénigne de la prostate"
OIC-128,"Ostéopathies fragilisantes"
OIC-129,"Arthrose"
OIC-130,"La personne âgée malade : particularités sémiologiques, psychologiques et thérapeutiques. (voir item 322)"
OIC-131,"Troubles de la marche et de l’équilibre. (voir item 109)"
OIC-132,"Troubles cognitifs du sujet âgé. (voir item 108)"
OIC-133,"Autonomie et dépendance chez le sujet âgé"
OIC-134,"Bases neurophysiologiques, mécanismes physiopathologiques d’une douleur aiguë et d’une douleur chronique"
OIC-135,"Thérapeutiques antalgiques, médicamenteuses et non médicamenteuses. (voir item 330)"
OIC-136,"Anesthésie locale, locorégionale et générale"
OIC-137,"Douleur chez l’enfant : évaluation et traitements antalgique"
OIC-138,"Douleur chez la personne vulnérable"
OIC-139,"Soins palliatifs pluridisciplinaires chez un malade en phase palliative ou terminale d’une maladie grave, chronique ou létale (1). Principaux repères cliniques. Modalités d’organisation des équipes, en établissement de santé et en ..."
OIC-140,"Soins palliatifs pluridisciplinaires chez un malade en phase palliative ou terminale d'une maladie grave, chronique ou létale (2). Accompagnement de la personne malade et de son entourage. Principaux repères éthiques"
OIC-141,"Soins palliatifs pluridisciplinaires chez un malade en phase palliative ou terminale d’une maladie grave, chronique ou létale (3). La sédation pour détresse en phase terminale et dans des situations spécifiques et complexes en fin de ..."
OIC-142,"Connaître les aspects spécifiques des soins palliatifs en pédiatrie"
OIC-143,"Connaître les aspects spécifiques des soins palliatifs en réanimation"
OIC-144,"Deuil normal et pathologique"
OIC-145,"Surveillance des maladies infectieuses transmissibles"
OIC-146,"Vaccinations"
OIC-147,"Fièvre aiguë chez l’enfant et l’adulte"
OIC-148,"Infections naso-sinusiennes de l’adulte et de l’enfant"
OIC-149,"Angines de l’adulte et de l’enfant"
